"","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Dortmund",3,1,3,6,7,7,9,13,6,5,1,1,2,2,7,2,3,3
"BayernMunich",1,3,1,2,1,1,4,1,2,1,3,2,1,1,1,1,1,1
"Freiburg",6,16,16,14,18,16,16,16,16,14,9,12,5,14,17,16,7,7
"Hamburg",13,11,4,8,8,3,7,4,5,7,8,15,7,16,16,10,14,14
"Kaiserslautern",8,7,14,13,12,16,16,16,16,16,7,18,16,16,16,16,16,16
"Leverkusen",4,2,15,3,6,5,5,7,9,4,2,5,3,4,4,3,12,12
"WerderBremen",7,6,6,1,3,2,3,2,10,3,13,9,14,12,10,13,8,8
"EinFrankfurt",17,16,16,16,16,14,14,9,13,10,17,16,6,13,9,16,11,11
"Schalke04",2,5,7,7,2,4,2,3,8,2,14,3,4,3,6,5,10,10
"Cottbus",14,13,18,16,16,16,13,14,16,16,16,16,16,16,16,16,16,16
"Munich1860",11,9,10,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"Bochum",18,16,9,5,16,16,8,12,14,17,16,16,16,16,16,16,16,16
"Hertha",5,4,5,12,4,6,10,10,4,18,16,16,16,11,15,7,6,6
"Stuttgart",15,8,2,4,5,9,1,6,3,6,12,6,12,15,14,17,16,16
"Unterhaching",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"Wolfsburg",9,10,8,10,9,15,15,5,1,8,15,8,11,5,2,8,16,16
"FCKoln",10,17,16,18,16,17,16,16,12,13,10,17,16,16,12,9,5,5
"HansaRostock",12,14,13,9,17,16,16,17,16,16,16,16,16,16,16,16,16,16
"M'gladbach",16,12,12,11,15,10,18,16,15,12,16,4,8,6,3,4,9,9
"StPauli",16,18,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16
"Nurnberg",16,15,17,16,14,8,6,16,16,16,6,10,10,17,16,16,16,16
"Bielefeld",16,16,16,16,13,13,12,15,18,16,16,16,16,16,16,16,16,16
"Hannover",16,16,11,15,10,12,11,8,11,15,4,7,9,10,13,18,16,16
"Mainz",16,16,16,16,11,11,16,16,16,9,5,13,13,7,11,6,15,15
"Duisburg",16,16,16,16,16,18,16,18,16,16,16,16,16,16,16,16,16,16
"Aachen",16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16
"Karlsruhe",16,16,16,16,16,16,16,11,17,16,16,16,16,16,16,16,16,16
"Hoffenheim",16,16,16,16,16,16,16,16,7,11,11,11,16,9,8,15,4,4
"Augsburg",16,16,16,16,16,16,16,16,16,16,16,14,15,8,5,12,13,13
"GreutherFurth",16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16,16,16
"FortunaDusseldorf",16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16
"Braunschweig",16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16,16
"Paderborn",16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16
"Darmstadt",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,18,18
"Ingolstadt",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,17,17
"RBLeipzig",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2,2
